Correct Sentence,Errneous Sentence,Error Type,Error Subtype,Error Description,Grammarly,Ginger,ProWrittingAid,LanguageTools,After thr Deadline
Don’t worry too much about making mistakes.,Don’t worry too much for making mistakes.,Syntax Error,Preposition error,for' used instead of 'about',YES,NO,NO,NO,NO
The judge will decide the case.,The judge will decide upon the case.,Syntax Error,Preposition error,unnessary preposition 'upon',NO,NO,NO,NO,NO
We crossed the river in a boat.,We crossed the river with a boat.,Syntax Error,Preposition error,with' used instead of 'in',NO,NO,NO,NO,NO
 She got into the taxi.,She got on the taxi.,Syntax Error,Preposition error,on' used instead of 'into',NO,NO,NO,NO,NO
The cat got in through the window to catch the mouse.,The cat got in from the window to catch the mouse.,Syntax Error,Preposition error,from' used instead of 'through',NO,NO,NO,NO,NO
I am going home.,I am going to home.,Syntax Error,Preposition error,unnessary used  of preposition 'to',YES,NO,NO,YES,NO
What is the difference between these two houses?,What is the difference of these two houses?,Syntax Error,Preposition error,of' used instead of 'between',YES,NO,NO,NO,NO
"With the help of my mom, I finished the lunch quickly.","Under the help of my mom, I finished the lunch quickly.",Syntax Error,Preposition error,under' used instead of 'with',NO,NO,NO,NO,NO
"There was a limit to his patience, and he had crossed it.","There was a limit in his patience, and he had crossed it.",Syntax Error,Preposition error,in' used instead of 'to',NO,NO,NO,NO,NO
The tiger of Serghei took a lot of space.,The tiger of Serghei took a lot of place.,Semantic Error,Word Choice Error,place' used instead of 'space',NO,NO,NO,NO,NO
This problem is huge than I expected.,This problem is really bigger than I expected.,Semantic Error,Word Choice Error,really bigger' used instead of 'huge',NO,NO,NO,NO,NO
"I don’t remember my height, but I am short.","I don’t remember my tall, but I am short.",Semantic Error,Word Choice Error,tall' used instead of 'height',NO,NO,NO,NO,NO
"I like eating at Lonimar, my favorite Dominican resturant.","I like eating at Lonimar, my favorite Dominican food.",Semantic Error,Word Choice Error,food' used instead of 'resturant',NO,NO,NO,NO,NO
All prisoners had committed serious crimes.,All prisoners had committed heavy crimes.,Semantic Error,Word Choice Error,heavy crimes' used instead of 'crimes',NO,NO,NO,NO,NO
It was a brief difficult question.,It was a little difficult question.,Semantic Error,Word Choice Error,little' used instead of 'brief',NO,NO,NO,NO,NO
The police asked for a brief description of the car,The police asked for a little description of the car,Semantic Error,Word Choice Error,in' used instead of 'to',NO,NO,NO,NO,NO
He told me he had took several trainings.,He told me he had followed several trainings.,Semantic Error,Word Choice Error,followed' used instead of 'took',NO,NO,NO,NO,NO
This website is called “Biology Corner.”,This website is named “Biology Corner.”,Semantic Error,Word Choice Error,named' used instead of 'called',NO,NO,NO,NO,NO
I  told you before Almost foreigner like pizza.,I said you before Almost foreigner like pizza.,Semantic Error,Word Choice Error,said' used instead of 'told',NO,YES,NO,NO,NO
Most students students are tired.,Almost students are tired.,Semantic Error,Word Choice Error,almost' used instead of 'most',NO,NO,NO,NO,NO
This website is a huge game changer for me.,This website is a huge difference maker for me.,Semantic Error,Word Choice Error,difference maker' used instead of 'game changer',NO,NO,NO,NO,NO
I am 5 feet.,I measure 5 feet.,Semantic Error,Word Choice Error,measure' used instead of 'am',NO,NO,NO,NO,NO
The thing is that I did not know or think that this field of study has as many responsibilities.,The thing is that I did not know or think that this field of study has as much responsibilities.,Semantic Error,Word Choice Error,much' used instead of 'many',YES,NO,NO,YES,NO
The metro is ten minutes away  on foot.,The metro is ten minutes away by walking.,Semantic Error,Word Choice Error,by walking' used instead of 'on foot',NO,NO,NO,NO,NO
Every dentist needs a dental assistant to help with cleaning and preparation.,Every dentist needs a dental collaborator to help with cleaning and preparation.,Semantic Error,Word Choice Error,collaborator' used instead of 'assistant',NO,NO,NO,NO,NO
"On my last visit to the dentist, I had a root canal treatment.","On my last visit to the dentist, I had a root waterway treatment.",Semantic Error,Word Choice Error,waterway' used instead of 'canal',NO,NO,NO,NO,NO
"In my new job, I have to make a lot of important decisions.","In my new job, I have to make a lot of important choices.",Semantic Error,Word Choice Error,choices' used instead of 'decisions',NO,NO,NO,NO,NO
"Finally, watching random video on YouTube make me smile.","Finally, look random video on YouTube make me smile.",Semantic Error,Word Choice Error,look' used instead of 'watching',NO,NO,NO,NO,NO
Words poured from his mouth.,Words pored from his mouth.,Semantic Error,Word Choice Error,pored' used instead of 'poured',YES,YES,YES,NO,YES
"The students were up until midnight, pore over their books.","The students were up until midnight, pouring over their books.",Semantic Error,Word Choice Error,pouring' used instead of 'pore',NO,NO,NO,NO,NO
The news is very surprising.,The news is much surprising.,Semantic Error,Word Choice Error,much' used instead of 'very',NO,NO,NO,NO,NO
The boss of another multinational wants us to merge our two companies.,The boss of another multinational wants us to join our two companies.,Semantic Error,Word Choice Error,join' used instead of 'merge',NO,NO,NO,NO,NO
Dinner is the main meal of the day.,Dinner is the main dish of the day.,Semantic Error,Word Choice Error,dish' used instead of 'meal',NO,NO,NO,NO,NO
It was a long way between the hotel and the beach.,It was a long distance between the hotel and the beach.,Semantic Error,Word Choice Error,distance' used instead of 'way',NO,NO,NO,NO,NO
The magazine is published every month.,The magazine is printed every month.,Semantic Error,Word Choice Error,printed' used instead of 'published',NO,NO,NO,NO,NO
Unemployment is a very significant problem.,Unemployment is a very important problem.,Semantic Error,Word Choice Error,important' used instead of 'signifacnt',NO,NO,NO,NO,NO
"While I was walking, I see my friend, and he proposed to me to get in his car.","While I was walking, I saw my friend, and he proposed to me to embark in his car.",Semantic Error,Word Choice Error,embark' used instead of 'get',NO,NO,NO,NO,NO
Basement flats are often dark and damp.,Basement flats are often dark and moist.,Semantic Error,Word Choice Error,moist' used instead of 'damp',NO,NO,NO,NO,NO
"Yesterday , I had a dream.","Last day, I had a dream.",Semantic Error,Word Choice Error,Last day' used instead of 'Yesterday',NO,NO,NO,NO,NO
It was very very tasty.,It was very delicious.,Semantic Error,Word Choice Error,delicious' used instead of 'very tasty',NO,NO,NO,NO,NO
The teachers are very kind and understanding.,The teachers are very kind and comprehensive.,Semantic Error,Word Choice Error,comprehensive' used instead of 'understanding',NO,NO,NO,NO,NO
"When I arrive at work, I check my new email on my computer.","When I arrive at work, I take my new email on my computer.",Semantic Error,Word Choice Error,take' used instead of 'check',NO,NO,NO,NO,NO
I am  really a blunderer.,I am very a blunderer.,Semantic Error,Word Choice Error,very' used instead of 'really',NO,NO,NO,NO,NO
Results suggest the relationships among these variables.,Results found the relationships among these variables.,Semantic Error,Word Choice Error,found' used instead of 'suggest',NO,NO,NO,NO,NO
We have received a great number of complaints./We have received a lot of complaints./We have received many complaints./We have received plenty of complaints./,We have received a great deal of complaints.,Semantic Error,Word Choice Error,deal' used instead of 'number',YES,NO,NO,NO,NO
He won  a lot of money on the lottery.,He earned a lot of money on the lottery.,Semantic Error,Word Choice Error,earned' used instead of 'won',NO,NO,NO,NO,NO
I speak French  forever.,I speak French since ever.,Semantic Error,Word Choice Error,since ever' used instead of 'forever',NO,NO,NO,NO,NO
I work as a salesperson in a clothes shop.,I work as a sales in a clothes shop.,Semantic Error,Word Choice Error,sales' used instead of 'salesperson',NO,NO,NO,NO,NO
"I use English during my work, and when I speak to friend who only speak English.",I use English during my work on when I speak to friend who only speak English.,Semantic Error,Word Choice Error,on' used instead of 'and',NO,NO,NO,NO,NO
I have been speaking French since I’m born.,I have been talking French since I’m born.,Semantic Error,Word Choice Error,talking' used instead of 'speaking',NO,NO,NO,NO,NO
"When you are not in your best, they are always behind you like brothers.","When you are not in your best, they are every time behind you like brothers.",Semantic Error,Word Choice Error,always' used instead of 'every time',NO,NO,NO,NO,NO
"Keeping in mind that the roads will be busy,I think that we should make an early start.","Having in mind that the roads will be busy,I think that we should make an early start.",Semantic Error,Word Choice Error,Having' used instead of 'keeping',NO,NO,NO,NO,NO
That cake was really good.,That cake was really well.,Semantic Error,Word Choice Error,well' used instead of 'good',NO,YES,NO,NO,NO
Only 40% of the samples showed full compliance for the required characteristics.,Only 40% of the samples showed entire compliance for the required characteristics.,Semantic Error,Word Choice Error,entire' used instead of 'full',NO,NO,NO,NO,NO
The imbalance between the compositions of the combustion residues can cause changes in accuracy and efficiency.,The unbalance between the compositions of the combustion residues can cause changes in accuracy and efficiency.,Semantic Error,Word Choice Error,unbalanced' used instead of 'imbalance',NO,NO,NO,NO,NO
The device was designed to withstand extreme variations in temperature.,The device was constructed to withstand extreme variations in temperature.,Semantic Error,Word Choice Error,constructed' used instead of 'designed',NO,NO,NO,NO,NO
We have developed a new method to calculate the energy efficiency.,We have devised a method to calculate the energy efficiency.,Semantic Error,Word Choice Error,devised' used instead of 'developed',NO,NO,NO,NO,NO
"Because of the instability in this process, the steady-state condition may vary.","Because of the unstableness of this process, the steady-state condition may vary.",Semantic Error,Word Choice Error,unstableness' used instead of 'instability',NO,NO,NO,NO,NO
Researchers should exercise extreme caution when performing this procedure./Researchers should keep up extreme caution when performing this procedure.,Researchers should maintain extreme caution when performing this procedure.,Semantic Error,Word Choice Error,maintain' used instead of 'exercise',NO,NO,NO,NO,YES
The principal will hold an assembly tomorrow.,The principle will hold an assembly tomorrow.,Semantic Error,Contextual Error,principle used instead of principal,NO,NO,NO,NO,NO
The professor explained Platonic principles to us.,The professor explained Platonic principals to us.,Semantic Error,Contextual Error,principals used instead of principles,NO,NO,NO,YES,YES
We're glad to help.,Where glad to help.,Semantic Error,Contextual Error,where used instead we're,NO,YES,NO,NO,NO
Where are you going?,We're are you going?,Semantic Error,Contextual Error,we're used instead of where,YES,YES,NO,NO,YES
My cousins are all tall and blonde.,My cousins our all tall and blonde.,Semantic Error,Contextual Error,our used instead of are ,YES,NO,NO,NO,NO
We will bring our cameras to take pictures.,We will bring are cameras to take pictures.,Semantic Error,Contextual Error,are used instead of our,YES,NO,NO,NO,NO
My glasses are by the bed.,My glasses are buy the bed.,Semantic Error,Contextual Error,buy used instead of by,NO,NO,NO,NO,YES
I will buy new glasses after the doctor’s appointment.,I will by new glasses after the doctor’s appointment.,Semantic Error,Contextual Error,by used instead of buy,YES,YES,YES,YES,NO
I know the male peacock sports the brilliant feathers.,I no the male peacock sports the brilliant feathers.,Semantic Error,Contextual Error,no used instead of know,NO,YES,YES,NO,YES
I have no time to visit the zoo this weekend.,I have know time to visit the zoo this weekend.,Semantic Error,Contextual Error,know used instead of no,NO,YES,YES,YES,NO
My work will require quite a lot of concentration.,My work will require quiet a lot of concentration.,Semantic Error,Contextual Error,quiet used instead of quite,YES,YES,NO,YES,NO
I need a quiet room to complete the assignments.,I need a quit room to complete the assignments.,Semantic Error,Contextual Error,quit used instead of quiet,YES,YES,YES,YES,NO
"When bowling, she practices the right form.","When bowling, she practices the write form.",Semantic Error,Contextual Error,write used instead of right,NO,YES,NO,NO,YES
"After the team members bowl, I will write down their scores.","After the team members bowl, I will right down their scores.",Semantic Error,Contextual Error,right used instead of write,YES,YES,YES,YES,NO
She set the mug on the saucer.,She sit the mug on the saucer.,Semantic Error,Contextual Error,sit used instead of set,NO,NO,NO,YES,NO
I’ll sit on the sofa while she brews the tea.,I’ll set on the sofa while she brews the tea.,Semantic Error,Contextual Error,set used instead of sit,NO,NO,NO,NO,NO
My dentist gave me medicine to lessen the pain of my aching tooth.,My dentist gave me medicine to lesson the pain of my aching tooth.,Semantic Error,Contextual Error,lesson used  instead of lessen,YES,YES,NO,YES,YES
Today’s lesson was about mortgage interest rates.,Today’s lessen was about mortgage interest rates.,Semantic Error,Contextual Error,lessen used instead of lesson,YES,YES,YES,YES,NO
The novice teacher’s patience with the unruly class was astounding.,The novice teacher’s patience with the unruly class was astounding.,Semantic Error,Contextual Error,patience used instead of patient,NO,NO,NO,NO,NO
"The patients was tired of eating the hospital food, and they could not wait for a home-cooked meal.","The patient was tired of eating the hospital food, and they could not wait for a home-cooked meal.",Semantic Error,Contextual Error,patient used instead of patience,NO,NO,NO,NO,NO
"For once, there was peace between the argumentative brothers.","For once, there was piece between the argumentative brothers.",Semantic Error,Contextual Error,piece used instead of peace,NO,YES,YES,YES,NO
"I would like a large piece of cake, thank you.","I would like a large peace of cake, thank you.",Semantic Error,Contextual Error,peace used instead of piece,YES,YES,YES,YES,YES
He sees a whale through his binoculars.,He seas a whale through his binoculars.,Semantic Error,Contextual Error,seas used instead of sees,NO,YES,YES,YES,YES
The tidal fluctuation of the oceans and seas are influenced by the moon.,The tidal fluctuation of the oceans and sees are influenced by the moon.,Semantic Error,Contextual Error,sees used instead of seas,YES,YES,NO,YES,YES
She threw the football with perfect form.,She through the football with perfect form.,Semantic Error,Contextual Error,through used instead of threw,NO,NO,YES,NO,NO
She walked through the door and out of his life.,She walked threw the door and out of his life.,Semantic Error,Contextual Error,threw used instead of through,NO,NO,YES,YES,YES
An edition of his Latin lyrics appeared at Regensburg in 1884.,An addition of his Latin lyrics appeared at Regensburg in 1884.,Semantic Error,Contextual Error,addition used instead of edition,YES,NO,NO,NO,NO
 He needed to adapt his strategies when dealing with her., He needed to adopt his strategies when dealing with her.,Semantic Error,Contextual Error,adopt used instead of adapt,YES,NO,NO,NO,NO
Again that immoral woman.,Again that amoral woman.,Semantic Error,Contextual Error,amoral used instead of immoral,NO,NO,NO,NO,NO
Critics love the clever camera angles the director used in the film.,Critics love the clever camera angel the director used in the film.,Semantic Error,Contextual Error,angel used instead of angles,NO,NO,NO,NO,YES
The ascent of Fuji presents no difficulties.,The accent of Fuji presents no difficulties.,Semantic Error,Contextual Error,accent used instead of ascent,NO,NO,NO,NO,NO
 Each library assistant was given a specific section of the library to put away books., Each library assistance was given a specific section of the library to put away books.,Semantic Error,Contextual Error,assistance used instead of assistant,YES,NO,NO,NO,NO
He even had a birth certificate for me.,He even had a berth certificate for me.,Semantic Error,Contextual Error,berth used instead of birth,NO,YES,YES,YES,YES
"Her lips were full, a perfect bow, and her large eyes steady and concerned.","Her lips were full, a perfect bough, and her large eyes steady and concerned.",Semantic Error,Contextual Error,bough used instead of bow,NO,NO,NO,NO,YES
 Two scenes were cut by the censor., Two scenes were cut by the censure.,Semantic Error,Contextual Error,censure used instead of censor,NO,YES,NO,NO,NO
 The Capitol is a magnificent building., The Capital is a magnificent building.,Semantic Error,Contextual Error,capital used instead of capitol,NO,NO,NO,NO,NO
These courses cover a twelve-week period and are organised into three four-week modules.,These coarse cover a twelve-week period and are organised into three four-week modules.,Semantic Error,Contextual Error,coarse used instead of courses,NO,NO,NO,NO,YES
"Hold on, I'll check in my diary. ","Hold on, I'll check in my dairy",Semantic Error,Contextual Error,dairy used instead of diary,NO,NO,YES,YES,YES
I prefer to use this app because it allows me to devise my own music playlists.,I prefer to use this app because it allows me to device my own music playlists.,Semantic Error,Contextual Error,device used instead of devise,NO,NO,NO,YES,YES
The same dye is used to color the tails.,The same die is used to color the tails.,Semantic Error,Contextual Error,die used instead of dye,NO,NO,NO,NO,NO
 I hope you fare well on your journey around the world!, I hope you fair well on your journey around the world!,Semantic Error,Contextual Error,fair used instead of fare,NO,NO,NO,YES,NO
There were many herds and flocks.,There were many heard and flocks.,Semantic Error,Contextual Error,heard used instead of herds,NO,NO,YES,NO,NO
It's been a whole week since I've seen him,It's been a hole week since I've seen him,Semantic Error,Contextual Error,hole used instead of whole,YES,YES,YES,NO,NO
"In the latter category, one text stuck out.","In the later category, one text stuck out.",Semantic Error,Contextual Error,later used instead of latter,YES,YES,YES,NO,NO
The team is playing well and their morale is high.,The team is playing well and their moral is high.,Semantic Error,Contextual Error,moral used instead of morale,YES,YES,NO,NO,YES
It's been over a year since I've had a peek at him. ,It's been over a year since I've had a peak at him. ,Semantic Error,Contextual Error,peak used instead of peek,YES,NO,NO,NO,NO
We raze the place.,We raise the place.,Semantic Error,Contextual Error,raise used instead of raze,NO,NO,NO,NO,NO
We've played better since you joined the team.,We've played better sense you joined the team.,Semantic Error,Contextual Error,sense used instead of since,YES,YES,NO,NO,NO
The menu changes from week to week.,The menu changes from weak to weak.,Semantic Error,Contextual Error,weak used instead of week,NO,NO,NO,NO,YES
The waves crashed onto the rocks.,The waive crashed onto the rocks.,Semantic Error,Contextual Error,waive used instead of waves,YES,YES,YES,NO,YES
,,,,Over All Accuracy,44.4,34.6,38.6,36,28.7425149700599
